alpha,topic,trisk,pvalue
0.0,23789,0.5722,0.567
0.0,23790,0.0,1.0
0.0,23791,0.9093,0.363
0.0,23792,0.2787,0.78
0.0,23793,-0.4992,0.618
0.0,23794,1.872,0.0612
0.0,23795,0.0781,0.938
0.0,23796,0.1721,0.863
0.0,23797,0.5636,0.573
0.0,23798,1.2942,0.196
0.0,23799,1.1609,0.246
0.0,23800,3.222,0.0013
0.0,23801,-1.0559,0.291
0.0,23802,-0.5689,0.569
0.0,23803,0.7407,0.459
0.0,23804,-0.8605,0.39
0.0,23805,1.6448,0.1
0.0,23806,-0.2236,0.823
